title,acronym,link
Information Security Symposium,CERIAS,https://events.research.purdue.edu/cerias/
Computer Graphics International,CGI,https://www.cgs-network.org/cgi25/
International Symposium on Code Generation and Optimization,CGO,https://2025.cgo.org/
Workshop on Cryptographic Hardware and Embedded Systems,CHES,https://ches.iacr.org/2025/
International Conference on Human Factors in Computing Systems,CHI,https://chi2025.acm.org/
CHI PLAY: The Annual Symposium on Computer-Human Interaction in Play,CHI PLAY,https://chiplay.acm.org/2025/
International Conference on Computer-Human Interaction Research and Applications,CHIRA,https://chira.scitevents.org/
International Conference on Implementation and Application of Automata,CIAA,https://ciaa2025.unipa.it/
International Conference on Algorithms and Complexity,CIAC,https://easyconferences.eu/ciac2025/
IberoAmerican Congress on Pattern Recognition,CIARP,http://www.ciarp24.org/
IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology,CIBCB,http://smile.ee.ncku.edu.tw/cibcb2025/
International Conference on Intelligent Text Processing and Computational Linguistics,CICLING,http://www.cicling.org/
Conference on Intelligent Computer Mathematics,CICM,"https://cicm-conference.org/2025/cicm.php, https://cicm-conference.org/2025/"
IEEE Symposium on Computational Intelligence and Data Mining,CIDM,https://attend.ieee.org/ssci-2023/ieee-symposium-on-computational-intelligence-in-data-mining-cidm/
Conference on Innovative Data Systems Research,CIDR,https://www.cidrdb.org/cidr2025/
Computability in Europe: Logic and Theory of Algorithms,CiE,https://sites.google.com/view/cie2025-computabilityineurope/home
ACM International Conference on Information and Knowledge Management,CIKM,https://cikm2025.org/
International Workshop on Combinations of Intelligent Methods and Applications,CIMA,None
International Conference on Computational Intelligence and Security,CIS,"http://2024.cis-lab.org/, http://ww2.cis-lab.org/"
IEEE International Conference on Cybernetics and Intelligent Systems,CIS,https://www.cis-ram.org/2024/
"International Conference on Complex, Intelligent and Software Intensive Systems",CISIS,"https://voyager.ce.fit.ac.jp/conf/cisis/2025/, http://voyager.ce.fit.ac.jp/conf/cisis/2025/"
Computational Intelligence in Security for Information Systems,CISIS,"https://voyager.ce.fit.ac.jp/conf/cisis/2025/, http://voyager.ce.fit.ac.jp/conf/cisis/2025/"
Conference on Information Sciences and Systems,CISS,https://ciss.jhu.edu/
IEEE International Conference on Computer and Information Technology,CIT,https://smartconf24.org/cit2024/
Latin American Conference on Informatics,CLEI,https://conferencia2025.clei.org/en/home/
International Conference on Cloud Computing and Services Science,CLOSER,"https://closer.scitevents.org/, https://closer.scitevents.org/?y=2025"
IEEE International Conference on Cloud Computing,CLOUD,https://services.conferences.computer.org/2025/cloud/
IEEE International Conference on Cloud Computing Technology and Science,CloudCom,https://www.cloudcom2024.org/
IEEE International Conference on Cluster Computing,CLUSTER,https://clustercomp.org/2025/
International Conference on Network and Service Management,CNSM,"https://cnsm-conf.org/2025/, https://www.cnsm-conf.org/2025/"
Conference on Combinatorial Optimization and Applications,COCOA,http://www.cocoa2024.com/cocoa2024
International Conference on Computing and Combinatorics,COCOON,"https://tcsuestc.com/cocoon2025, https://tcsuestc.com/cocoon2025/index.html"
International Conference on Hardware/Software Codesign and System Synthesis,CODES+ISSS,https://esweek.org/codes-isss/
"International Conference on Control, Decision and Information Technologies",CoDIT,https://codit2025.org/
Conference on Games,COG,https://cog2025.inesc-id.pt/
Annual Meeting of the Cognitive Science Society,CogSci,https://cognitivesciencesociety.org/cogsci-2025/
IEEE Conference on Cognitive and Computational Aspects of Situation Management,CogSIMA,https://edas.info/web/cogsima2025/home.html
"International Workshop on Coordination, Organizations, Institutions, Norms and Ethics for Governance of Multi-Agent Systems",COINE,https://coin-workshop.github.io/coine-2025-detroit/
International Conference on Computational Linguistics,COLING,https://coling2025.org/
"International Conference on Collaborative Computing: Networks, Applications and Worksharing",CollaborateCom,https://collaboratecom.eai-conferences.org/2025/
Conference on Learning Theory,COLT,https://learningtheory.org/colt2025/
International Conference on Management of Data,COMAD,https://ikdd.acm.org/cods-2025/
"International Conference on Complexity, Future Information Systems and Risk",COMPLEXIS,https://complexis.scitevents.org/
International Computer Software and Applications Conference,COMPSAC,https://ieeecompsac.computer.org/2025/
International Conference on COMmunication Systems & NETworkS,COMSNETS,https://www.comsnets.org/
International Conference on Concurrency Theory,CONCUR,https://conferences.au.dk/confest2025/concur
ACM International Conference on Emerging Networking Experiments and Technologies,CoNEXT,https://conferences.sigcomm.org/co-next/2025/#!/home
Conference on Computational Natural Language Learning,CoNLL,"https://conll.org/, https://conll.org/2025"
International Conference on Cooperative Information Systems,CoopIS,https://coopis.scitevents.org/
International Conference on Coordination Models and Languages,Coordination,http://www.discotec.org/2025/coordination.html
Workshop on Constraint Satisfaction for Planning and Scheduling,COPLAS,https://icaps18.icaps-conference.org/coplas/
Conference on Robot Learning,CoRL,https://www.corl.org/
International Conference on Principles and Practice of Constraint Programming,CP,https://cp2025.a4cp.org/
International Conference on Integration of Artificial Intelligence and Operations Research Techniques in Constraint Programming for Combinatorial Optimization Problems,CPAIOR,https://sites.google.com/view/cpaior2025
Combinatorial Pattern Matching,CPM,https://cpm2025.pangenome.eu/
International Conference on Risks and Security of Internet and Systems,CRiSIS,"https://crisis2024.univ-gustave-eiffel.fr/, https://www.crisis-conference.com/"
International Workshop on Critical Information Infrastructures Security,CRITIS,"https://jth-critis.hj.se/, https://critis2024.uniroma3.it/"
Advances in Cryptology,CRYPTO,https://crypto.iacr.org/2025/
ACM Conference on Computer Supported Cooperative Work,CSCW,https://cscw.acm.org/2025/
International Conference on Computer Supported Cooperative Work in Design,CSCWD,http://2025.cscwd.org/
International Conference on Computer Supported Education,CSEDU,"https://csedu.scitevents.org/, https://csedu.scitevents.org/?y=2025"
Conference on Software Engineering Education and Training,CSEET,https://conf.researchr.org/home/icse-2025/cseet-2025
IEEE Computer Security Foundations Symposium,CSF,https://csf2025.ieee-security.org/
International CSI Computer Conference,CSICC,https://csicc2025.csi.org.ir/en/
Computer Sciences and Information Technologies,CSIT,https://csit.am/2025/
Annual Conference on Computer Science Logic,CSL,https://csl2025.github.io/
International Computer Science Symposium in Russia,CSR,https://logic.pdmi.ras.ru/~csr/
Cryptographers Track at RSA Conference,CT-RSA,https://ct-rsa-2025.csa.iisc.ac.in/
Cologne-Twente Workshop on Graphs and Combinatorial Optimization,CTW,None
IEEE Conference on Computer Vision and Pattern Recognition,CVPR,"https://cvpr.thecvf.com/, https://cvpr.thecvf.com/Conferences/2025"
International Conference on Cyberworlds,CW,"https://www3.ntu.edu.sg/home/assourin/CW/cw-conferences.htm, https://cw2025.tyut.edu.cn/"
Design Automation Conf,DAC,https://www.dac.com/
Digital Audio Effects Conference,DAFX,https://dafx25.dii.univpm.it/
IFIP International Conference on Distributed Applications and Interoperable Systems,DAIS,"http://www.discotec.org/2025/dais, http://www.discotec.org/2025/dais.html"
International Workshop on Data Management on New Hardware,DaMoN,https://damon-db.org/
International Workshop on Document Analysis Systems,DAS,https://das2024.seecs.edu.pk/
"International Conference on Dependable, Autonomic and Secure Computing",DASC,https://cyber-science.org/2025/dasc/
International Conference on Database Systems for Advanced Applications,DASFAA,https://dasfaa2025.github.io/
"International Conference on Data Science, Technology and Applications",DATA,"https://data.scitevents.org/, https://data.scitevents.org/?y=2025"
"Design, Automation and Test in Europe Conference",DATE,https://www.date-conference.com/
Data Warehousing and Knowledge Discovery,DaWaK,https://www.dexa.org/2025/dawak2025.html
International Baltic Conference on Databases and Information Systems,DB&IS,https://dbis2024.vu.lt/
IFIP WG 11.3 Working Conference on Data and Applications Security,DBSEC,https://www.ntnu.edu/web/dbsec2025/dbsec2025
International Conference on Dublin Core and Metadata Applications,DC,https://www.dublincore.org/conferences/2025/
International Conference on Distributed Computing and Artificial Intelligence,DCAI,https://www.dcai-conference.net/
Data Compression Conference,DCC,https://datacompressionconference.org/
IEEE International Conference on Distributed Computing in Sensor Systems,DCOSS,https://dcoss.org/
International Conference on Dependability of Computer Systems,DEPCoS,https://depcos.pwr.edu.pl/
Developments in eSystems Engineering,DeSE,https://dese.ai/dese-2025/
International Conference on Database and Expert Systems Applications,DEXA,https://www.dexa.org/2025/dexa2025.html
The Theory and Application of Diagrams,DIAGRAMS,"https://diagrams-2024.diagrams-conference.org/, https://diagrams-conference.org/"
Digital Image Computing Techniques and Applications,DICTA,https://dicta2025.dictaconference.org/
Digital Games Research Conference,DIGRA,https://digraconference2025.org/
"GI International Conference on Detection of Intrusions and Malware, and Vulnerability Assessment",DIMVA,"https://www.dimva.org/dimva2025/, https://dimva.org/dimva2025/"
Designing Interactive Systems,DIS,https://dis.acm.org/2025/
International Symposium on Distributed Computing,DISC,https://www.disc-conference.org/wp/disc2025/
Dynamic Languages Symposium,DLS,https://www.sigplan.org/Conferences/DLS/
Developments in Language Theory,DLT,https://cida.uos.ac.kr/dlt2025/
SIAM Conference on Discrete Mathematics,DM,https://www.siam.org/conferences-events/past-event-archive/dm24/
DNA Computing and Molecular Programming,DNA,https://dna31.sciencesconf.org/
ACM Symposium on Document Engineering,DocEng,"http://www.documentengineering.org/doceng2025, https://doceng.org/doceng2025"
International Workshop on Data Warehousing and OLAP,DOLAP,"https://dolapworkshop.github.io/dolap-2025/, https://dolapworkshop.github.io/"
Discovery Science,DS,http://ds2025.ijs.si/
IEEE International Conference on Data Science and Advanced Analytics,DSAA,https://dsaa.ieee.org/2025/
Workshop on Domain Specific Modelling,DSM,https://www.designsociety.org/1429/27th+International+Dependency+and+Structure+Modelling+Conference+%28DSM+2025%29
IEEE/IFIP International Conference on Dependable Systems and Networks,DSN,https://dsn2025.github.io/
International Symposium on Distributed Simulation and Real Time Applications,DS-RT,"https://ds-rt.com/2025/index.html, https://ds-rt.com/2025/"
International Workshop on Principles of Diagnosis,DX,https://conf.researchr.org/home/dx-2025
European Association for Computational Linguistics,EACL,https://2025.aclweb.org/
Conference of the European Association for Machine Translation,EAMT,"https://mtsummit2025.unige.ch/, https://eamt.org/mt-summit-biannual-conference/"
International Conference on Engineering Applications of Neural Networks,EANN,https://eannconf.org/2025/
International Conference on Evaluation and Assessment in Software Engineering,EASE,https://conf.researchr.org/home/ease-2025
EURO AMERICAN CONFERENCE ON TELEMATICS AND INFORMATION SYSTEMS,EATIS,https://eatis.org/eatis2024/
ACM Conference on Economics and Computation,EC,https://ec25.sigecom.org/
European Conference on Artificial Intelligence,ECAI,https://ecai2025.org/
European Conference on Computational Biology,ECCB,https://www.iscb.org/ismbeccb2025/home
European Chapter on Combinatorial Optimization,ECCO,https://ecco2025.sciencesconf.org/
European Conference on Computer Vision,ECCV,https://eccv.ecva.net/
European Conference on Digital Government,ECDG,None
European Conference on Information Retrieval,ECIR,https://ecir2025.eu/
European Conference on Modelling Foundations and Applications,ECMFA,https://conf.researchr.org/home/staf-2025/ecmfa-2025
European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Database,ECML PKDD,https://ecmlpkdd.org/2025/
International Conference on Modelling and Simulation,ECMS,https://scs-europe.net/conf/ecms2025/
European Conference on Object-Oriented Programming,ECOOP,https://2025.ecoop.org/
Euromicro Conference on Real-Time Systems,ECRTS,https://www.ecrts.org/
European Conference on Software Architecture,ECSA,https://conf.researchr.org/home/ecsa-2025
European Conference on Computer Supported Cooperative Work,ECSCW,https://ecscw.eusset.eu/2025/
European Conference on Symbolic and Quantitative Approaches to Reasoning with Uncertainty,ECSQARU,https://ecsqaru2025.krportal.org/
European Conference on Technology Enhanced Learning,EC-TEL,https://ea-tel.eu/ectel2025
Extending Database Technology,EDBT,https://edbticdt2025.upc.edu/
European Dependable Computing Conference,EDCC,https://edcc2025.campus.ciencias.ulisboa.pt/
Educational Data Mining,EDM,https://educationaldatamining.org/edm2025/
"World Conference on Educational Multimedia, Hypermedia and Telecommunications",ED-MEDIA,https://aace.org/conf/edmedia/
IEEE International Enterprise Distributed Object Computing Conference,EDOC,https://cbi-edoc-2025.inesc-id.pt/?i=1
Eurographics Symposium on Parallel Graphics and Visualization,EGPGV,https://www.egpgv.org/2025/
International Conference on Artificial Reality and Telexistance & Eurographics Symposium on Virtual Environments,EGVE,https://a.bth.se/icat-egve2025/
Engineering Interactive Computing Systems,EICS,"http://eics.acm.org/2025/, https://eics.acm.org/2025/"
European-Japanese Conference on Information Modelling and Knowledge Bases,EJC,"https://ejc2025.vsb.cz/, https://ejc.um.si/"
International Conference on Knowledge Engineering and Knowledge Management,EKAW,"https://event.cwi.nl/ekaw2024/, https://ekaw.org/"
EMAS,EMAS,"https://2025.emas-online.org/, https://emas.in.tu-clausthal.de/"
Exploring Modelling Methods in Systems Analysis and Design,EMMSAD,"https://www.emmsad.org/, https://www.emmsad.org/home"
Empirical Methods in Natural Language Processing,EMNLP,https://2025.emnlp.org/
ACM Conference on Embedded Software,EMSOFT,https://esweek.org/emsoft/
International Conference on Evaluation of Novel Approaches to Software Engineering,ENASE,"https://enase.scitevents.org/, https://enase.scitevents.org/?y=2025"
International Conference on Information and Communication Technologies in Tourism,ENTER,"https://ifitt.net/enter-conference/, https://ifitt.net/enter-conference/enter-25/"
International Workshop on Enterprise and Organizational Modelling and Simulation,EOMAS,https://eomas2024.fel.cvut.cz/
Portuguese Conference on Artificial Intelligence,EPIA,https://epia2025.ualg.pt/
International Conference on Conceptual Modelling,ER,https://er2025.ensma.fr/
European Symposium on Algorithms,ESA,"https://algo-conference.org/2025/esa/, https://algo-conference.org/2025/"
European Symposium on Artificial Neural Networks,ESANN,https://www.esann.org/
IEEE International Conference on e-Science and Grid Computing,e-Science,https://www.escience-conference.org/2025/
International Symposium on Empirical Software Engineering and Measurement,ESEM,https://conf.researchr.org/home/esem-2025
European Symposium on Programming,ESOP,https://etaps.org/2025/conferences/esop/
European Symposium On Research In Computer Security,ESORICS,https://esorics2025.sciencesconf.org/
Extended Semantic Web Conference,ESWC,https://2025.eswc-conferences.org/
IEEE International Conference on Emerging Technologies and Factory Automation,ETFA,https://etfa2025.ieee-ies.org/
ETHICOMP Conference,ETHICOMP,https://autonoma.pt/en/ethicomp-2025/
Eye Tracking Research and Applications,ETRA,https://etra.acm.org/2025/
IEEE European Test Symposium,ETS,https://ets2025.taltech.ee/
IEEE/IFIP International Conference on Embedded and Ubiquitous Computing,EUC,https://ieee-aiplus.org/2024/euc/
European Conference on Multi-Agent Systems,EUMAS,https://euramas.github.io/eumas2025/
European Conference on Operations Research,EURO,https://euro2025leeds.uk/
Euro Virtual Reality,Euro VR,https://dsc2025.org/
European Workshop on Computational Geometry,EuroCG,https://kam.mff.cuni.cz/conferences/eurocg2025/
"EuroConference on Combinatorics, Graph Theory and Applications",EUroComb,https://eurocomb25.renyi.hu/
International Conference on the Theory and Application of Cryptographic Techniques,EuroCrypt,https://eurocrypt.iacr.org/2025/
European Conference on Genetic Programming,EUROGP,https://www.evostar.org/2025/eurogp/
European MPI Users' Group Conference,EuroMPI,"https://eurompi.org/, https://eurompi.github.io/index, https://events.vsc.ac.at/event/123/"
International European Conference on Parallel and Distributed Computing,EuroPar,https://2025.euro-par.org/
European Conference on Pattern Languages of Programs,EuroPLop,https://www.europlop.net/
IEEE European Symposium on Security and Privacy,EuroS&P,https://eurosp2025.ieee-security.org/
European SPI,EuroSPI,https://conference.eurospi.net/index.php/en/
Eurosys Conference,EuroSys,https://2025.eurosys.org/
Visual Analytics,EuroVA,https://www.eurova.org/eurova-2025
Eurographics/IEEE Symposium on Visualization,EuroVis,https://www.eurovis2025.lu/
Conference of the European Society for Fuzzy Logic and Technologies,EUSFLAT,https://eusflat2025.eu/
International Conference on Emerging Ubiquitous Systems and Pervasive Networks,EUSPN,"https://cs-conferences.acadiau.ca/euspn-25/, http://cs-conferences.acadiau.ca/euspn-24/"
International Conference on Applications of Evolutionary Computation,EvoApplications,https://www.evostar.org/2025/evoapps/
European Conference on Evolutionary Computation in Combinatorial Optimisation,EvoCOP,https://www.evostar.org/2025/evocop/
"International Conference on Artificial Intelligence in Music, Sound, Art and Design",EvoMUSART,https://www.evostar.org/2025/evomusart/
International Conference on Embedded Wireless Systems and Networks,EWSN,https://www.ewsn25.cs.kuleuven.be/
Fundamental Approaches to Software Engineering,FASE,https://etaps.org/2025/conferences/fase/
Conference on File and Storage Technologies,FAST,"https://www.usenix.org/conference/fast25, https://www.usenix.org/conference/fast26"
International Frontiers of Algorithmics Workshop,FAW,None
Financial Cryptography and Data Security Conference,FC,https://fc25.ifca.ai/
IEEE Symposium on Field Programmable Custom Computing Machines,FCCM,https://www.fccm.org/
International Symposium on Fundamentals of Computation Theory,FCT,"https://fct2025.cs.uni.wroc.pl/, https://fct2025.cs.uni.wroc.pl/home"
International Conference on the Foundations of Digital Games,FDG,https://fdg2025.org/
Forum on Specification and Design Languages,FDL,https://fdl-conference.com/index.html
Workshop on Fault Diagnosis and Tolerance in Cryptography,FDTC,"https://fdtc.deib.polimi.it/FDTC24/index.html, https://fdtc.deib.polimi.it/FDTC25/index.html"
CONFERENCE ON COMPUTER SCIENCE AND INTELLIGENCE SYSTEMS,FedCSIS,https://2025.fedcsis.org/
IEEE International Conference on Automatic Face and Gesture Recognition,FG,https://fg2025.ieee-biometrics.org/
Frontiers in Education,FIE,https://2025.fie-conference.org/
International Conference on Frontiers of Information Technology,FIT,https://www.icfit.org/
Florida Artificial Intelligence Research Society Conference,FlAIRS,"https://www.flairs-38.info/, https://www.flairs.com/"
International FLINS Conference on Robotics and Artificial Intelligence,FLINS,None
International Symposium on Functional and Logic Programming,FLOPS,https://conf.researchr.org/home/flops-2024
International Symposium on Formal Methods,FM,https://www.fm24.polimi.it/
Formal Methods in Computer-Aided Design,FMCAD,https://fmcad.org/FMCAD25/
