title,acronym
International Conference on Multimedia Retrieval,ICMR
International Workshop on MultiAgent Based Simulation,MABS
International Symposium on Logic-based Program Synthesis and Transformation,LOPSTR
International Conference on Modelling Decisions for Artificial Intelligence,MDAI
International Conference on Mobile Data Management,MDM
Language Resources and Evaluation Conference,LREC
Symposium Model Analysis and Simulation of Computer and Telecommunications Systems,MASCOTS
International Symposium on Microarchitecture,MICRO
ACM/IFIP/USENIX International Middleware Conference,Middleware
Medical Image Computing and Computer-Assisted Intervention,MICCAI
International Conference on Multimedia Modelling,MMM
International Conference on Model Driven Engineering Languages and Systems,MODELS
Mobile and Ubiquitous Multimedia,MUM
Machine Translation Summit,MT SUMMIT
International Congress on Modelling and Simulation,MODSIM
IEEE International Symposium on Network Computing and Applications,NCA
Mensch & Computer,MuC
Machine Vision Applications,MVA
North American Association for Computational Linguistics,NAACL
Network and Operating System Support for Digital Audio and Video,NOSSDAV
New Security Paradigms Workshop,NSPW
IEEE Network Operations and Management Symposium,NOMS
IFIP International Conference on Network and Parallel Computing,NPC
Applications of Natural Language to Data Bases,NLDB
IFIP International Conference on Networking,Networking
Practical Applications of Agents and Multiagent Systems,PAAMS
International Conference on Principles of Distributed Systems,OPODIS
International Conference on Parallel Architecture and Compilation Techniques,PACT
Australian Computer Human Interaction Conference,OZCHI
International Conference on network and System Security,NSS
IFIP/IEEE International Conference on Performance Evaluation and Modeling in Wired and Wireless Networks,PEMWN
Privacy Enhancing Technologies Symposium,PETS
International Picture Coding Symposium,PCS
Pacific Rim Knowledge Acquisition Workshop,PKAW
International Conference on the Application and Theory of Petri Nets and Concurrency,Petri Nets
Pacific Conference on Computer Graphics and Applications,PG
ACM Symposium on Principles of Distributed Computing,PODC
IFIP WG8.1 Working Conference on the Practice of Enterprise Modeling,PoEM
International Symposium on Computational Geometry,SoCG
"International Conference on Intelligent Software Methodologies, Tools, and Techniques",SoMeT
ACM/SIAM Symposium on Discrete Algorithms,SODA
Symposium On Usable Privacy and Security,SOUPS
Current Trends in Theory and Practice of Computer Science,SOFSEM
Software Product Lines Conference,SPLC
International Symposium on Search Based Software Engineering,SSBSE
International Conference on Scientific and Statistical Data Base Management,SSDBM
International Symposium on Spatial and Temporal Databases,SSTD
ACM Symposium on Theory of Computing,STOC
International Symposium on Theoretical Aspects of Computer Science,STACS
International Symposium on Symbolic and Numeric Algorithms for Scientific Computing,SYNASC
Conference on Theory and Applications of Models of Computation,TAMC
Theoretical Aspects of Rationality and Knowledge,TARK
Richard Tapia Celebration of Diversity in Computing Conference,Tapia
Theory of Cryptography Conference,TCC
"Symposium on Stabilization, Safety, and Security of Distributed Systems",SSS
IEEE Region 10 Conference,Tencon
Conference in Uncertainty in Artificial Intelligence,UAI
ACM International Joint Conference on Pervasive and Ubiquitous Computing,UbiComp
International Symposium on Temporal Representation and Reasoning,TIME
Annual Computer Security Applications Conference,ACSAC
International Joint Conference on Autonomous Agents and Multiagent Systems,AAMAS
International Conference on Artificial Intelligence and Statistics,AISTATS
International Conference on Artificial Intelligence in Education,AIED
European-Japanese Conference on Information Modelling and Knowledge Bases,EJC
International Conference on Evaluation of Novel Approaches to Software Engineering,ENASE
Australasian Joint Conference on Artificial Intelligence,AI
European Conference on Genetic Programming,EUROGP
European Symposium on Algorithms,ESA
IEEE European Symposium on Security and Privacy,EuroS&P
International European Conference on Parallel and Distributed Computing,EuroPar
European Conference on Pattern Languages of Programs,EuroPLop
European SPI,EuroSPI
European MPI Users' Group Conference,EuroMPI
International Conference on Embedded Wireless Systems and Networks,EWSN
International Workshop on Fast Software Encryption,FSE
"International Conference on Artificial Intelligence in Music, Sound, Art and Design",EvoMUSART
The International Conference on Future Networks and Communications,FNC
Financial Cryptography and Data Security Conference,FC
International Conference on Operations Research and Enterprise Systems,ICORES
International Conference on Information Fusion,FUSION
ACM International Conference on Supercomputing,ICS
International Conference on Pattern Recognition Applications and Methods,ICPRAM
International Conference on Industrial and Engineering Applications of Artificial Intelligence and Expert Systems,IEA/AIE
International Conference on Software and Data Technologies,ICSoft
ACM Special Interest Group on Supporting Group Work,Group
IFIP Information Security & Privacy Conference,IFIP SEC
Indian Conference on Human-Computer Interaction,IndiaHCI
"International Conference on Internet of Things, Big Data and Security",IoTBDS
ACM SIGGRAPH/Eurographics Symposium on Computer Animation,SCA
International Joint Conference on Computational Intelligence,IJCCI
International Conference on Theory and Applications of Satisfiability Testing,SAT
Euromicro Conference on Software Engineering and Advanced Applications,SEAA
International Conference on Information Security and Cryptography,SECRYPT
International Conference on Security and Privacy for Communication Networks,SecureComm
"IEEE International Conference on Sensing, Communication and Networking",SECON
ACM Conference on Embedded Networked Sensor Systems,SENSYS
Symposium of Asian Association for Algorithms and Computation,AAAC
National Conference of the American Association for Artificial Intelligence,AAAI
Australasian Conference on Combinatorial Mathematics and Combinatorial Computing,ACCMCC
"International Conference Abstract State Machines, Alloy, B, TLA, VDM, and Z",ABZ
Conference on Algorithmic Aspects in Information and Management,AAIM
Australasian Computing Education Conference,ACE
Applied Computing Conference,ACC
International Conference on Advances in Computer-Human Interactions,ACHI
International Conference on Affective Computing and Intelligent,ACII
Asian Conference on Intelligent Information and Database Systems,ACIIDS
Advanced Concepts for Intelligent Vision Systems,ACIVS
Association for Computational Linguistics,ACL
Asian Conference on Machine Learning,ACML
ACM Conference on Security and Privacy in Wireless and Mobile Networks,ACM_WiSec
ACM Multimedia,ACMMM
International Conference on Reliable Software Technologies,Ada-Europe
Australasian Conference on Robotics and Automation,ACRA
International Conference on Advanced Data Mining and Applications,ADMA
Australasian Database Conference,ADC
International Conference on Advanced Computing and Communications,AdCom
Symposium on Advances in DB and Information Systems,ADBIS
International Conference on Applied Cryptography and Network Security,ACNS
Artificial Intelligence Applications and Innovations,AIAI
International Conference on Advanced Information Networking and Applications,AINA
International Conference on Artificial Intelligence in Medicine,AIME
"International Conference on Analysis of Images, Social Networks and Texts",AIST
"International Conference on Artificial Intelligence: Methodology, Systems, Applications",AIMSA
Australasian Information Security Conference,AISC
Workshop on Algorithm Engineering and Experiments,ALENEX
ACS/IEEE International Conference on Computer Systems and Applications,AICCSA
Algorithmic Learning Theory,ALT
International Symposium on Algorithms and Experiments for Wireless Networks,Algosensors
Australasian Language Technology Workshop,ALTA
International Conference on the Simulation and Synthesis of Living Systems,ALIFE
Conference of the Association for Machine Translation in the Americas,AMTA
American Medical Informatics Annual Fall Symposium,AMIA
"International Conference on Ambient Systems, Networks and Technologies",ANT
International Conference on Artificial Reality and Telexistance & Eurographics Symposium on Virtual Environments,EGVE
International Conference on Knowledge Engineering and Knowledge Management,EKAW
EMAS,EMAS
Exploring Modelling Methods in Systems Analysis and Design,EMMSAD
ACM Conference on Embedded Software,EMSOFT
Empirical Methods in Natural Language Processing,EMNLP
Portuguese Conference on Artificial Intelligence,EPIA
International Conference on Conceptual Modelling,ER
European Symposium on Artificial Neural Networks,ESANN
International Conference on Information and Communication Technologies in Tourism,ENTER
European Symposium On Research In Computer Security,ESORICS
International Symposium on Empirical Software Engineering and Measurement,ESEM
Eye Tracking Research and Applications,ETRA
Extended Semantic Web Conference,ESWC
IEEE European Test Symposium,ETS
ETHICOMP Conference,ETHICOMP
IEEE/IFIP International Conference on Embedded and Ubiquitous Computing,EUC
European Conference on Operations Research,EURO
Euro XR International Conference,Euro XR
European Workshop on Computational Geometry,EuroCG
Eurosys Conference,EuroSys
International Conference on the Theory and Application of Cryptographic Techniques,EuroCrypt
International Conference on Emerging Ubiquitous Systems and Pervasive Networks,EUSPN
Eurographics/IEEE Symposium on Visualization,EuroVis
Conference of the European Society for Fuzzy Logic and Technologies,EUSFLAT
European Conference on Evolutionary Computation in Combinatorial Optimisation,EvoCOP
Fundamental Approaches to Software Engineering,FASE
Conference on File and Storage Technologies,FAST
IEEE Symposium on Field Programmable Custom Computing Machines,FCCM
International Conference on the Foundations of Digital Games,FDG
CONFERENCE ON COMPUTER SCIENCE AND INTELLIGENCE SYSTEMS,FedCSIS
International Symposium on Fundamentals of Computation Theory,FCT
Florida Artificial Intelligence Research Society Conference,FlAIRS
Workshop on Fault Diagnosis and Tolerance in Cryptography,FDTC
Frontiers in Education,FIE
IEEE International Conference on Automatic Face and Gesture Recognition,FG
International Conference on Frontiers of Information Technology,FIT
International Workshop on Formal Methods for interactive Systems,FMIS
Formal Methods in Computer-Aided Design,FMCAD
International Symposium on Formal Methods,FM
IEEE Symposium on Foundations of Computer Science,FOCS
Foundations of Genetic Algorithms,FOGA
Int. Workshop on Formal Methods for Industrial Critical Systems,FMICS
International Conference on Formal Ontology in Information Systems,FOIS
Foundations of Software Science and Computational Structures,FOSSACS
Field Programmable Logic and Applications,FPL
ACM Int'l Symposium on Field Programmable Gate Arrays,FPGA
IEEE Conference of the Open Innovations Association FRUCT,FRUCT
International Conference on Formal Structures for Computation and Deduction,FSCD
Workshop on Formal Techniques for Java-like Programs,FTfJP
Foundations of Software Technology and Theoretical Computer Science,FST&TCS
ACM International Conference on the Foundations of Software Engineering,FSE
Graph Drawing,GD
IEEE International Conference on Fuzzy Systems,FUZZ-IEEE
Genetic and Evolutionary Computations,GECCO
Graphics Interface,GI
Geometry Modeling and Processing,GMP
"International Conference on Green, Pervasive and Cloud Computing",GPC
IEEE Global Telecommunications Conference,GLOBECOM
Visualization In Science and Education,GRC
International Conference on Generative Programming and Component Engineering,GPCE
Workshop on Applications of Graph Theory in Wireless Ad hoc Networks and Sensor Networks,Graph-hoc
International Conference on Hybrid Artificial Intelligence Systems,HAIS
Human-Agent Interaction,HAI
British Computer Society Conference on Human-Computer Interaction,HCI
International Wordnet Conference,GWC
Haskell Workshop,HASKELL
HCist - International Conference on Health and Social Care Information Systems and Technologies,HCist
International Conference on Computing and Informatics,ICOCI
International Conference on Neural Information Processing,ICONIP
International Conference on Machine Vision,ICMV
International Conference on Network Protocols,ICNP
International Conference on the Theory of Information Retrieval,ICTIR
"ICT in Education, Research, and Industrial Applications",ICTERI
ACM/SPEC International Conference on Performance Engineering,ICPE
The International Conference on Intelligent Environments,IE
International Conference on Process Mining,ICPM
Intelligent Distributed Computing,IDC
Interaction Design and Children,IDC
International Conference on Virtual Rehabilitation,ICVR
Intelligent Data Analysis,IDA
IEEE International Conference on Robotics and Automation,ICRA
International Conference on Software Engineering Advances,ICSEA
International Conference on Software Engineering,ICSE
International Conference on Software Architecture,ICSA
International Conference on Web Engineering,ICWE
International Conference on Systems Engineering,ICSEng
International Database Engineering and Applications Symposium,IDEAS
IEEE International Conference on Software Maintenance and Evolution,ICSME
International Conference on Service Oriented Computing,ICSOC
International Conference on Web and Social Media,ICWSM
IEEE Industrial Electronics Society,IECON
Interactive Entertainment,IE
International Conference on Software Reuse,ICSR
International Conference on Informatics & Data-Driven Medicine,IDDM
"International Conference on Software Testing, Verification and Validation",ICST
International Conference on Tools with Artificial Intelligence,ICTAI
International Conference on Information and Communication Technologies for Ageing Well and e-Health,ICT4AWE
International Conference on Testing Software and Systems,ICTSS
IEEE International Conference on Web Services,ICWS
IEEE International Conference on Program Comprehension,ICPC
IEEE Consumer Communications and Networking Conference,IEEE CCNC
IEEE International Symposium on Artificial Life,IEEE Alife
IEEE Symposium on Computational Intelligence for Security and Defence Applications,IEEE CISDA
IEEE International Conference on Intelligent Systems,IEEE IS
IEEE Visualization,IEEE VIS
Integrated Formal Methods,IFM
Intelligent Vehicles Conference,IEEE-IV
IEEE International Geoscience and Remote Sensing Symposium,IGARSS
International Joint Conference on Natural Language Processing,IJCNLP
International Joint Conference on Artificial Intelligence,IJCAI
International Conference on Information and Knowledge Engineering,IKE
International Joint Conference on Automated Reasoning,IJCAR
SKLOIS Conference on Information Security and Cryptology,Inscrypt
Information Visualisation Theory and Practice,InfVis
International Symposium on Innovations in Intelligent Systems and Applications,INISTA
Informing Science and Information Technology Education,InSITE
Information Hiding and Multimedia Security Workshop,IH&MMSec
International Joint Conference on Biometrics,IJCB
Interspeech,Interspeech
International Natural Language Generation Conference,INLG
IEEE International Joint Conference on Neural Networks,IJCNN
IEEE International On-Line Testing Symposium,IOLTS
Internet Measurement Conference,IMC
International Machine Vision and Image Processing Conference,IMVIP
IFSA World Congress,IFSA
IEEE International Scientific Conference on Informatics,Informatics
IEEE Symposium on Computational intelligence for Multimedia Signal and Vision Processing,IEEE CIMSIVP
IEEE International Conference on Computer Communications,INFOCOM
Information Integration and Web-based Applications and Services,IIWAS
International Conference on Advanced Communications and Computation,INFOCOMP
International Conference on Cryptology in India,INDOCRYPT
Static Analysis Symposium,SAS
"International Conference for High Performance Computing, Networking, Storage and Analysis",SC
IEEE International Working Conference on Source Code Analysis and Manipulation,SCAM
International Symposium on Experimental Algorithms,SEA
International Workshop on Software and Compilers for Embedded Systems,SCOPES
ACM/IEEE Symposium on Edge Computing,SEC
International Conference on Software Engineering and Formal Methods,SEFM
SIAM International Conference on Data Mining,SDM
International Conference on Sustainable Energy Information Technology,SEIT
IEEE Congress on Services,SERVICES
International Symposium on Computer Architecture and High Performance Computing,SBAC-PAD
"ACIS Conference on Software Engineering Research, Management and Applications",SERA
International Conference on Sequences and their Applications,SETA
"International Symposium on Software Engineering: Theories, Tools, and Applications",SETTA
SGAI International Conference on Artificial Intelligence,SGAI
"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM
International Conference on Software Engineering and Knowledge Engineering,SEKE
"International Conference: Sciences of Electronics, Technologies of information and Telecommunication",SETIT
Annual Meeting of the Special Interest Group on Discourse and Dialog,SIGdial
ACM SIG International Conference on Computer Graphics and Interactive Techniques,SIGGRAPH
ACM Special Interest Group on Computer Science Education Conference,SIGCSE
Measurement and Modeling of Computer Systems,SIGMETRICS
SIGGRAPH Asia,SiggraphA
Symposium on Geometry Processing,SGP
ACM Special Interest Group on Management of Data Conference,SIGMOD
ACM SIGUCCS Conference on User Services,SIGUCCS
ACM International Conference on Advances in Geographic Information Systems,SIGSPATIAL
International Conference on Similarity Search and Applications,SISAP
ACM Information Technology Education,SIGITE
International Colloquium on Structural Information and Communication Complexity,SIROCCO
International Symposium on Intelligent Systems and Informatics,SISY
"IEEE Conference on Systems, Man and Cybernetics",SMC
International Conference on Security of Information and Networks,SIN
International Conference on Software Language Engineering,SLE
"International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing",SNPD
International Workshop on Algebraic and Combinatorial Coding Theory,ACCT
Asian Conference on Computer Vision,ACCV
"ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009)",ACE
Australasian Document Computing Symposium,ADCS
Australian Institute of Computer Ethics Conference,AICE
Advances in Modal Logic,AiML
Asia-Pacific Bioinformatics Conference,APBC
Asia Pacific Conference on Communications,APCC
Asia-Pacific Services Computing Conference,APSCC
IberoAmerican Congress on Pattern Recognition,CIARP
International Workshop on Combinations of Intelligent Methods and Applications,CIMA
Conference on Combinatorial Optimization and Applications,COCOA
Conference on Robot Learning,CoRL
ACM Conference on Computer Supported Cooperative Work,CSCW
International CSI Computer Conference,CSICC
Cologne-Twente Workshop on Graphs and Combinatorial Optimization,CTW
IFIP International Conference on Distributed Applications and Interoperable Systems,DAIS
International Workshop on Document Analysis Systems,DAS
International Conference on Dependability of Computer Systems,DEPCoS
SIAM Conference on Discrete Mathematics,DM
IEEE International Conference on Data Science and Advanced Analytics,DSAA
European Chapter on Combinatorial Optimization,ECCO
European Conference on Computer Supported Cooperative Work,ECSCW
"World Conference on Educational Multimedia, Hypermedia and Telecommunications ",ED-MEDIA
Engineering Interactive Computing Systems,EICS
International Workshop on Enterprise and Organizational Modelling and Simulation,EOMAS
European Conference on Multi-Agent Systems,EUMAS
"EuroConference on Combinatorics, Graph Theory and Applications",EUroComb
Visual Analytics,EuroVA
International Conference on Applications of Evolutionary Computation,EvoApplications
International Frontiers of Algorithmics Workshop,FAW
International FLINS Conference on Robotics and Artificial Intelligence (was International Fuzzy Logic and Intelligent technologies in Nuclear Science Conference),FLINS
Flexible Query-Answering Systems,FQAS
International Congress on Computational and Applied Mathematics,ICCAM
IEEE International Conference on Cognitive Informatics,ICCI
International Conference on Distributed Computing and Internet Technologies,ICDCIT
IEEE International Conference on Engineering of Complex Computer Systems,ICECCS
International Conference Formal Concept Analysis Conference,ICFCA
International Conference on Frontiers of Handwriting Recognition,ICFHR
International Conference on Internet Computing in Science and Engineering,ICICSE
International Conference on Smart homes and health Telematics,ICOST
International Conference on Optimization: Techniques And Applications,ICOTA
International Conference on Parallel and Distributed Systems,ICPADS
International Conference on Software and System Processes (was ICSP prior to 2011),ICSSP
International Conference on Computer Vision Systems,ICVS
International Conference on Intelligent Data Engineering and Automated Learning,IDEAL
IEEE International Symposium on Adaptive Dynamic Programming and Reinforcement Learning,IEEE ADPRL
IEEE Symposium on Computational Intelligence in Control and Automation,IEEE CICA
IEEE Symposium on Computational Intelligence in Cyber Security,IEEE CICS
IEEE Symposium on Computational Intelligence for Financial Engineering,IEEE CIFEr
IEEE Swarm Intelligence Symposium,IEEE SIS
IEEE International Conference on Software Services Engineering (previously IEEE International Conference on Services Computing SCC),IEEE SSE
Intenational Environmental Modelling and Software Society,iEMSs
Asia Pacific Symposium on Intelligent and Evolutionary Systems (was Australia-Japan Joint Workshop on  Intelligent and Evolutionary Systems),IES
International Joint Conference on Rough Sets (2014 International Conference on Rough Sets and Current Trends in Computing joined with 3 others),IJCRS (was RSCTC)
International Conference of the Immersive Learning Research Network,iLRN
IFIP/IEEE International Symposium on Integrated Management (even years sharing with NOMS),IM
IMA International Conference on Cryptography and Coding,IMACC
IEEE International Conference on Industrial Informatics,INDIN
International Network Optimization Conference,INOC
IFIP TC13 Conference on Human-Computer Interaction,Interact
ACM International Symposium on Computer Architecture,ISCA
International Symposium on Spatial Data Quality,ISSDQ
International Symposium on Ubiquitous Virtual Reality,ISUVR
International Workshop on Digital Watermarking,IWDW
Knowledge Domain Visualisation,KDViz
International Conference on Language and Automata Theory and Applications,LATA
Logic Programming and Automated Reasoning,LPAR
Multimedia and Network Information Systems,MISSI
Mathematics of Program Construction,MPC
ACM SIGSIM Conference on Principles of Advanced Discrete Simulation (was Parallel and Distributed Simulation),PADS
International Conference on Pairing-based Cryptography,Pairing
Parallel Problem Solving from Nature,PPSN
Pacific-Rim Symposium on Image and Video Technology,PSIVT
International Symposium on Spatial Data Handling,SDH
Semantics - International Conference on Semantic Systems,Semantics
IEEE Software Engineering Workshop,SEW
Symposium on Reliable Distributed Systems,SRDS
Structural and Syntactical Pattern Recognition,SSPR
International Symposium on Theoretical Aspects of Software Engineering,TASE
International Visualization in Transportation Symposium,TRB
Testbeds and Research Infrastructures for the Development of Networks and Communities,TridentCom
International Conference on Virtual Execution Environments,VEE
Algorithms and Data Structures Symposium (was Workshop on Algorithms and Data Structures),WADS
Workshop in Information Security Theory and Practices,WISTP
"IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks",WoWMoM
Winter Simulation Conference,WSC
